schcode,Rid,id,female,ses,femses,math,ses_mean,pro4yrc,public
1,1,6701,1,.586,.586,47.14,-.26675,.0833333333333333,0
1,2,6702,1,.304,.304,63.61,-.26675,.0833333333333333,0
1,3,6703,1,-.544,-.544,57.71,-.26675,.0833333333333333,0
1,4,6704,0,-.848,0,53.9,-.26675,.0833333333333333,0
1,5,6705,0,.001,0,58.01,-.26675,.0833333333333333,0
1,6,6706,0,-.106,0,59.87,-.26675,.0833333333333333,0
1,7,6707,0,-.33,0,62.5556,-.26675,.0833333333333333,0
1,8,6708,1,-.891,-.891,47.01,-.26675,.0833333333333333,0
1,9,6709,0,.207,0,72.42,-.26675,.0833333333333333,0
1,10,6710,1,-.341,-.341,65.84,-.26675,.0833333333333333,0
1,11,6711,0,-.171,0,57.34,-.26675,.0833333333333333,0
1,12,6712,1,-1.068,-1.068,62.5556,-.26675,.0833333333333333,0
2,1,3703,0,-.105,0,61.9528,.679923076923077,1,0
2,2,3704,0,1.28,0,70.22,.679923076923077,1,0
2,3,3705,0,1.056,0,58.78,.679923076923077,1,0
2,4,3706,0,.8,0,65.54,.679923076923077,1,0
2,5,3707,0,.733,0,59.77,.679923076923077,1,0
2,6,3708,0,.13,0,64.07,.679923076923077,1,0
2,7,3709,0,.682,0,61.9528,.679923076923077,1,0
2,8,3710,0,.917,0,66.83,.679923076923077,1,0
2,9,3711,0,.81,0,69.41,.679923076923077,1,0
2,10,3712,0,.518,0,56.51,.679923076923077,1,0
2,11,3713,0,.464,0,57.22,.679923076923077,1,0
2,12,3714,0,.552,0,64.89,.679923076923077,1,0
2,13,3715,0,1.002,0,70.12,.679923076923077,1,0
3,1,861,1,-.302,-.302,48.76,-.548,.333333333333333,0
3,2,862,1,-.648,-.648,44.65,-.548,.333333333333333,0
3,3,863,1,-.448,-.448,60.5929,-.548,.333333333333333,0
3,4,864,1,-.096,-.096,44.99,-.548,.333333333333333,0
3,5,865,1,-.291,-.291,50.9,-.548,.333333333333333,0
3,6,866,0,-1.65,0,42.94,-.548,.333333333333333,0
3,7,867,0,-1.125,0,50.67,-.548,.333333333333333,0
3,8,868,1,-1.872,-1.872,39.67,-.548,.333333333333333,0
3,9,869,1,-.602,-.602,37.8,-.548,.333333333333333,0
3,10,870,0,-.922,0,44.1,-.548,.333333333333333,0
3,11,871,1,.228,.228,57.23,-.548,.333333333333333,0
3,12,872,1,.401,.401,40.97,-.548,.333333333333333,0
3,13,873,0,-.119,0,37.62,-.548,.333333333333333,0
3,14,874,0,-.45,0,60.5929,-.548,.333333333333333,0
3,15,875,1,-.246,-.246,52.25,-.548,.333333333333333,0
3,16,876,0,-.868,0,60.5929,-.548,.333333333333333,0
3,17,877,1,-.986,-.986,41.6,-.548,.333333333333333,0
3,18,878,0,.132,0,40.34,-.548,.333333333333333,0
4,1,6799,1,.966,.966,62.7079,.815941176470588,1,0
4,2,6800,1,.823,.823,62.7079,.815941176470588,1,0
4,3,6801,1,-.212,-.212,62.7079,.815941176470588,1,0
4,4,6802,1,.895,.895,62.7079,.815941176470588,1,0
4,5,6803,1,1.065,1.065,69.04,.815941176470588,1,0
4,6,6804,1,1.251,1.251,78.98,.815941176470588,1,0
4,7,6805,1,.761,.761,62.7079,.815941176470588,1,0
4,8,6806,1,.9,.9,62.7079,.815941176470588,1,0
4,9,6807,1,1.238,1.238,62.7079,.815941176470588,1,0
4,10,6808,1,.268,.268,62.7079,.815941176470588,1,0
4,11,6809,1,.867,.867,73.09,.815941176470588,1,0
4,12,6810,1,.722,.722,71.14,.815941176470588,1,0
4,13,6811,1,.557,.557,62.7079,.815941176470588,1,0
4,14,6812,1,.447,.447,62.7079,.815941176470588,1,0
4,15,6813,1,1.117,1.117,62.7079,.815941176470588,1,0
4,16,6814,1,1.464,1.464,62.7079,.815941176470588,1,0
4,17,6815,1,.742,.742,71.6,.815941176470588,1,0
5,1,4567,1,-1.499,-1.499,50.64,-.389294117647059,1,0
5,2,4568,0,.579,0,62.2767,-.389294117647059,1,0
5,3,4569,1,-.319,-.319,51.33,-.389294117647059,1,0
5,4,4570,1,-.172,-.172,45.84,-.389294117647059,1,0
5,5,4571,1,-.12,-.12,49.97,-.389294117647059,1,0
5,6,4572,0,-.025,0,60.34,-.389294117647059,1,0
5,7,4573,0,-.313,0,45.71,-.389294117647059,1,0
5,8,4574,0,-.479,0,39.86,-.389294117647059,1,0
